simulation,y,ymin,ymax,.width,.point,.interval,divs,rhat,p_true
805,0.729105279047361,0.7063444593159934,0.7520479301678528,0.8,mean,qi,0,TRUE,0.7053412017412484
806,0.6370150196668384,0.6158781074093835,0.6581926448259592,0.8,mean,qi,0,TRUE,0.6415860019624233
807,0.005111592472898218,0.0015155113330880463,0.00914940351704729,0.8,mean,qi,0,TRUE,7.327974308282137e-4
808,0.28859431755466347,0.2697307600354111,0.3073493562954723,0.8,mean,qi,0,TRUE,0.2748865452595055
809,0.7133200900468226,0.6957167725209681,0.7310886710996185,0.8,mean,qi,0,TRUE,0.6834631930105388
810,0.221803915170697,0.20541471248620952,0.23802308832977398,0.8,mean,qi,0,TRUE,0.21496804081834853
811,0.970553926053139,0.956534252321363,0.9844108082406637,0.8,mean,qi,0,TRUE,0.9769349005073309
812,0.7002181281418073,0.6817535447873372,0.7178236798289556,0.8,mean,qi,0,TRUE,0.6779969779308885
813,0.3630936550045406,0.3424675659723341,0.38350489080277755,0.8,mean,qi,0,TRUE,0.35568809299729764
814,0.4888233896229523,0.4667027534975135,0.5104251818684761,0.8,mean,qi,0,TRUE,0.47734219301491976
815,0.36641461493831234,0.34591057949397064,0.3869195979014708,0.8,mean,qi,0,TRUE,0.3766899108886719
816,0.4863836703323005,0.46463806009421715,0.5074659038997975,0.8,mean,qi,0,TRUE,0.5084079308435321
817,0.7612449743788336,0.7443079394689113,0.7784607228856011,0.8,mean,qi,0,TRUE,0.7499680644832551
818,0.12796090989813266,0.11340101605179972,0.14258613905528716,0.8,mean,qi,0,TRUE,0.1354271953459829
819,0.9022132090212941,0.8869614607631771,0.9171847878769361,0.8,mean,qi,0,TRUE,0.9184873837511986
820,0.3296761392830413,0.3102084150703207,0.34977646464426376,0.8,mean,qi,0,TRUE,0.30153923435136676
821,0.23757348629187677,0.21996024282471066,0.2546497430515225,0.8,mean,qi,0,TRUE,0.26171613950282335
822,0.0733379836338459,0.06256909684373109,0.08469063895368595,0.8,mean,qi,0,TRUE,0.06629509292542934
823,0.7493251626720583,0.7282657919310966,0.7696998248133032,0.8,mean,qi,0,TRUE,0.7580169865395874
824,0.06586774669632933,0.054023549854316,0.078213244668348475,0.8,mean,qi,0,TRUE,0.0670218518935144
825,0.40261245269314805,0.3807658568029417,0.4247982096064031,0.8,mean,qi,0,TRUE,0.4105122466571629
826,0.9784220227243656,0.9640584467431428,0.9922523852045618,0.8,mean,qi,0,TRUE,0.9809835245832801
827,0.7328874523634247,0.7153602805048633,0.7500506766279714,0.8,mean,qi,0,TRUE,0.7164095083717257
828,0.2037510669054659,0.18741335121559966,0.2207239481468907,0.8,mean,qi,0,TRUE,0.19968910608440638
829,0.9199848230986252,0.9049200780390683,0.9345107596420381,0.8,mean,qi,0,TRUE,0.9133135362062603
830,0.7523687514847388,0.7348299218153934,0.7700015595953412,0.8,mean,qi,0,TRUE,0.7716458574868739
831,0.0328020976574487,0.025091663085138553,0.041136082432023824,0.8,mean,qi,0,TRUE,0.036218319088220596
832,0.5097802924405347,0.48833738838281215,0.531437057568048,0.8,mean,qi,0,TRUE,0.5133126382716
833,0.5890784129303277,0.5694706264918648,0.6082048897550005,0.8,mean,qi,0,TRUE,0.5926086693070829
834,0.8276550623144943,0.8120157395394716,0.8433902594109794,0.8,mean,qi,0,TRUE,0.8290369512978941
835,0.5255346146401025,0.5026138714326854,0.5484813367480587,0.8,mean,qi,0,TRUE,0.5235152821987867
836,0.06618199962756291,0.05614963233870365,0.07670031837066485,0.8,mean,qi,0,TRUE,0.06677217036485672
837,0.8101296064999842,0.7919155632809018,0.8279937532537787,0.8,mean,qi,0,TRUE,0.8083225951995701
838,0.6524772736334868,0.6317353257420991,0.6728355689242911,0.8,mean,qi,0,TRUE,0.6380295106209815
839,0.8736933403979471,0.8564066298149913,0.8908471254616376,0.8,mean,qi,0,TRUE,0.8635930614545941
840,0.20126575152722842,0.18474393292201935,0.2182260864695566,0.8,mean,qi,0,TRUE,0.20212039584293962
841,0.8723957205186657,0.856248362802323,0.8881777531857329,0.8,mean,qi,0,TRUE,0.8463653242215514
842,0.7039332504775145,0.6808480330616555,0.7263375108588489,0.8,mean,qi,0,TRUE,0.6934506301768124
843,0.49502497128189865,0.4723288083918857,0.5176637474521748,0.8,mean,qi,0,TRUE,0.527733204420656
844,0.11649932740184596,0.10272793775393027,0.13074295652832557,0.8,mean,qi,0,TRUE,0.12795653752982616
845,0.31449208179163884,0.2965492581150114,0.3332731058510179,0.8,mean,qi,0,TRUE,0.3201708614360541
846,0.07234573589398863,0.06211338806225204,0.0830963358101161,0.8,mean,qi,0,TRUE,0.07280063559301198
847,0.9729168906896764,0.9588429074418754,0.9872556786544792,0.8,mean,qi,0,TRUE,0.9693502376321703
848,0.13972632862799145,0.1258925511064781,0.15391166020768474,0.8,mean,qi,0,TRUE,0.1412595915608108
849,0.3827524532191474,0.36146068774106593,0.4037189635186257,0.8,mean,qi,0,TRUE,0.36787670594640076
850,0.03355679105331963,0.025720330947832083,0.04224091680059956,0.8,mean,qi,0,TRUE,0.018959201872348785
851,0.9400444350916745,0.9230309652251754,0.9572911758343119,0.8,mean,qi,0,TRUE,0.9370236224494874
852,0.6646599851595789,0.6452729505596914,0.6842736369483869,0.8,mean,qi,0,TRUE,0.64162273472175
853,0.11738004462288898,0.10386416092264687,0.13120884499704935,0.8,mean,qi,0,TRUE,0.12478697509504855
854,0.8327279886885351,0.8130217224430517,0.8528156611097127,0.8,mean,qi,0,TRUE,0.8413943876512349
855,0.22634345852604396,0.20943990788847383,0.2430727152620608,0.8,mean,qi,0,TRUE,0.22490685642696917
856,0.8694046073294186,0.8552246946045415,0.8835914317089194,0.8,mean,qi,0,TRUE,0.8669848516583443
857,0.587231278275287,0.5649905432933928,0.6102181830029257,0.8,mean,qi,0,TRUE,0.5925317532382905
858,0.2246923433584912,0.2072420242731524,0.24255640679717436,0.8,mean,qi,0,TRUE,0.22973637469112873
859,0.7270646292344755,0.7087467696737966,0.7454499553415009,0.8,mean,qi,0,TRUE,0.711752702947706
860,0.574556112192008,0.5516326279594991,0.5966561947547375,0.8,mean,qi,0,TRUE,0.5704055395908654
861,0.1013098285720693,0.08774219089999061,0.11461637466843119,0.8,mean,qi,0,TRUE,0.10312539851292968
862,0.013831241245372975,0.008335390979806274,0.01969225692657713,0.8,mean,qi,0,TRUE,0.012473111739382148
863,0.49008678698699704,0.4676880371591272,0.5121658788694474,0.8,mean,qi,0,TRUE,0.49376846523955464
864,0.823602711189527,0.8053584069133887,0.841914528053878,0.8,mean,qi,0,TRUE,0.8282722916919738
865,0.19450880894212558,0.178124266130178,0.21076502814903866,0.8,mean,qi,0,TRUE,0.19432658073492348
866,0.46815135926607543,0.444464891119836,0.49094723606396623,0.8,mean,qi,0,TRUE,0.4550887160003185
